website_pageview_id,created_at,website_session_id,pageview_url
1,2012-03-19 08:04:16,1,/home
2,2012-03-19 08:16:49,2,/home
3,2012-03-19 08:26:55,3,/home
4,2012-03-19 08:37:33,4,/home
5,2012-03-19 09:00:55,5,/home
6,2012-03-19 09:05:46,6,/home
7,2012-03-19 09:06:27,7,/home
8,2012-03-19 09:10:08,6,/products
9,2012-03-19 09:10:52,6,/the-original-mr-fuzzy
10,2012-03-19 09:14:02,6,/cart
11,2012-03-19 09:16:52,6,/shipping
12,2012-03-19 09:17:17,8,/home
13,2012-03-19 09:19:52,6,/billing
14,2012-03-19 09:27:56,9,/home
15,2012-03-19 09:35:37,10,/home
16,2012-03-19 09:37:42,11,/home
17,2012-03-19 09:39:57,12,/home
18,2012-03-19 09:45:29,13,/home
19,2012-03-19 09:45:47,14,/home
20,2012-03-19 09:57:14,15,/home
21,2012-03-19 10:01:35,16,/home
22,2012-03-19 10:01:46,15,/products
23,2012-03-19 10:05:34,15,/the-original-mr-fuzzy
24,2012-03-19 10:07:07,16,/products
25,2012-03-19 10:14:34,17,/home
26,2012-03-19 10:16:57,18,/home
27,2012-03-19 10:17:38,19,/home
28,2012-03-19 10:18:58,18,/products
29,2012-03-19 10:22:17,18,/the-original-mr-fuzzy
30,2012-03-19 10:22:58,20,/home
31,2012-03-19 10:23:23,18,/cart
32,2012-03-19 10:28:09,20,/products
33,2012-03-19 10:28:37,20,/the-original-mr-fuzzy
34,2012-03-19 10:31:29,20,/cart
35,2012-03-19 10:34:43,20,/shipping
36,2012-03-19 10:36:31,20,/billing
37,2012-03-19 10:42:46,20,/thank-you-for-your-order
38,2012-03-19 10:51:38,21,/home
39,2012-03-19 10:54:55,22,/home
40,2012-03-19 10:59:03,23,/home
41,2012-03-19 11:08:58,24,/home
42,2012-03-19 11:16:42,25,/home
43,2012-03-19 11:20:14,26,/home
44,2012-03-19 11:22:58,27,/home
45,2012-03-19 11:24:59,28,/home
46,2012-03-19 11:28:43,27,/products
47,2012-03-19 11:33:47,29,/home
48,2012-03-19 11:43:21,30,/home
49,2012-03-19 11:46:37,31,/home
50,2012-03-19 11:47:49,30,/products
51,2012-03-19 11:53:24,32,/home
52,2012-03-19 11:58:52,33,/home
53,2012-03-19 11:59:59,33,/products
54,2012-03-19 12:01:00,33,/the-original-mr-fuzzy
55,2012-03-19 12:01:28,34,/home
56,2012-03-19 12:02:18,35,/home
57,2012-03-19 12:03:01,34,/products
58,2012-03-19 12:06:27,34,/the-original-mr-fuzzy
59,2012-03-19 12:07:36,36,/home
60,2012-03-19 12:09:24,37,/home
61,2012-03-19 12:23:11,38,/home
62,2012-03-19 12:35:54,39,/home
63,2012-03-19 12:39:06,39,/products
64,2012-03-19 12:39:43,39,/the-original-mr-fuzzy
65,2012-03-19 12:45:10,40,/home
66,2012-03-19 12:49:41,40,/products
67,2012-03-19 12:51:04,40,/the-original-mr-fuzzy
68,2012-03-19 12:55:38,41,/home
69,2012-03-19 12:55:57,42,/home
70,2012-03-19 12:56:57,41,/products
71,2012-03-19 12:57:22,41,/the-original-mr-fuzzy
72,2012-03-19 12:57:35,43,/home
73,2012-03-19 12:59:12,42,/products
74,2012-03-19 13:01:15,42,/the-original-mr-fuzzy
75,2012-03-19 13:10:20,44,/home
76,2012-03-19 13:11:43,45,/home
77,2012-03-19 13:14:49,46,/home
78,2012-03-19 13:17:36,46,/products
79,2012-03-19 13:19:35,47,/home
80,2012-03-19 13:21:56,46,/the-original-mr-fuzzy
81,2012-03-19 13:25:17,46,/cart
82,2012-03-19 13:25:51,48,/home
83,2012-03-19 13:28:21,48,/products
84,2012-03-19 13:29:52,49,/home
85,2012-03-19 13:30:31,50,/home
86,2012-03-19 13:34:27,49,/products
87,2012-03-19 13:36:27,49,/the-original-mr-fuzzy
88,2012-03-19 13:36:54,49,/cart
89,2012-03-19 13:37:56,51,/home
90,2012-03-19 13:39:26,52,/home
91,2012-03-19 13:40:38,49,/shipping
92,2012-03-19 13:41:46,52,/products
93,2012-03-19 13:42:58,52,/the-original-mr-fuzzy
94,2012-03-19 13:43:13,49,/billing
95,2012-03-19 14:01:42,53,/home
96,2012-03-19 14:12:09,54,/home
97,2012-03-19 14:14:07,54,/products
98,2012-03-19 14:15:08,55,/home
99,2012-03-19 14:18:16,54,/the-original-mr-fuzzy
100,2012-03-19 14:20:38,56,/home
101,2012-03-19 14:23:51,57,/home
102,2012-03-19 14:42:54,58,/home
103,2012-03-19 14:48:35,58,/products
104,2012-03-19 14:51:15,59,/home
105,2012-03-19 14:52:13,58,/the-original-mr-fuzzy
106,2012-03-19 14:54:57,58,/cart
107,2012-03-19 14:56:28,58,/shipping
108,2012-03-19 14:58:46,60,/home
109,2012-03-19 15:01:00,61,/home
110,2012-03-19 15:03:11,62,/home
111,2012-03-19 15:03:57,63,/home
112,2012-03-19 15:04:18,62,/products
113,2012-03-19 15:05:50,64,/home
114,2012-03-19 15:06:10,63,/products
115,2012-03-19 15:09:02,64,/products
116,2012-03-19 15:13:54,65,/home
117,2012-03-19 15:20:18,66,/home
118,2012-03-19 15:29:46,67,/home
119,2012-03-19 15:33:50,68,/home
120,2012-03-19 15:56:47,69,/home
121,2012-03-19 16:03:21,70,/home
122,2012-03-19 16:03:55,71,/home
123,2012-03-19 16:20:19,72,/home
124,2012-03-19 16:32:16,73,/home
125,2012-03-19 16:37:11,73,/products
126,2012-03-19 16:38:15,73,/the-original-mr-fuzzy
127,2012-03-19 16:38:30,74,/home
128,2012-03-19 16:39:59,75,/home
129,2012-03-19 16:47:52,76,/home
130,2012-03-19 16:51:35,76,/products
131,2012-03-19 16:54:36,76,/the-original-mr-fuzzy
132,2012-03-19 16:55:37,77,/home
133,2012-03-19 16:56:43,78,/home
134,2012-03-19 16:59:12,79,/home
135,2012-03-19 17:02:42,80,/home
136,2012-03-19 17:04:42,79,/products
137,2012-03-19 17:05:02,81,/home
138,2012-03-19 17:06:31,82,/home
139,2012-03-19 17:08:45,83,/home
140,2012-03-19 17:09:01,81,/products
141,2012-03-19 17:11:50,81,/the-original-mr-fuzzy
142,2012-03-19 17:20:04,84,/home
143,2012-03-19 17:23:41,85,/home
144,2012-03-19 17:39:03,86,/home
145,2012-03-19 17:43:37,87,/home
146,2012-03-19 17:48:18,87,/products
147,2012-03-19 17:48:41,87,/the-original-mr-fuzzy
148,2012-03-19 17:49:08,88,/home
149,2012-03-19 17:56:53,89,/home
150,2012-03-19 17:58:38,90,/home
151,2012-03-19 18:04:10,90,/products
152,2012-03-19 18:06:13,90,/the-original-mr-fuzzy
153,2012-03-19 18:06:16,91,/home
154,2012-03-19 18:07:02,92,/home
155,2012-03-19 18:07:07,90,/cart
156,2012-03-19 18:08:27,93,/home
157,2012-03-19 18:09:58,94,/home
158,2012-03-19 18:10:16,90,/shipping
159,2012-03-19 18:11:37,90,/billing
160,2012-03-19 18:11:39,95,/home
161,2012-03-19 18:20:34,96,/home
162,2012-03-19 18:29:05,97,/home
163,2012-03-19 18:31:53,98,/home
164,2012-03-19 18:34:16,97,/products
165,2012-03-19 18:38:40,97,/the-original-mr-fuzzy
166,2012-03-19 18:40:42,99,/home
167,2012-03-19 18:41:53,97,/cart
168,2012-03-19 18:53:45,100,/home
169,2012-03-19 18:55:24,100,/products
170,2012-03-19 18:57:46,100,/the-original-mr-fuzzy
171,2012-03-19 18:59:38,101,/home
172,2012-03-19 18:59:45,100,/cart
173,2012-03-19 19:01:33,102,/home
174,2012-03-19 19:03:19,101,/products
175,2012-03-19 19:03:30,100,/shipping
176,2012-03-19 19:05:03,100,/billing
177,2012-03-19 19:11:54,103,/home
178,2012-03-19 19:14:04,104,/home
179,2012-03-19 19:15:13,104,/products
180,2012-03-19 19:17:59,104,/the-original-mr-fuzzy
181,2012-03-19 19:21:31,104,/cart
182,2012-03-19 19:23:19,104,/shipping
183,2012-03-19 19:23:47,104,/billing
184,2012-03-19 19:27:37,104,/thank-you-for-your-order
185,2012-03-19 19:28:17,105,/home
186,2012-03-19 19:30:25,106,/home
187,2012-03-19 19:34:54,107,/home
188,2012-03-19 19:37:11,108,/home
189,2012-03-19 19:39:36,109,/home
190,2012-03-19 19:40:41,107,/products
191,2012-03-19 19:41:16,108,/products
192,2012-03-19 19:42:47,107,/the-original-mr-fuzzy
193,2012-03-19 19:43:13,108,/the-original-mr-fuzzy
194,2012-03-19 19:44:09,109,/products
195,2012-03-19 19:46:47,107,/cart
196,2012-03-19 19:47:20,109,/the-original-mr-fuzzy
197,2012-03-19 19:48:14,110,/home
198,2012-03-19 20:02:14,111,/home
199,2012-03-19 20:08:20,112,/home
200,2012-03-19 20:10:52,113,/home
201,2012-03-19 20:23:35,114,/home
202,2012-03-19 20:25:21,115,/home
203,2012-03-19 20:28:31,115,/products
204,2012-03-19 20:29:32,115,/the-original-mr-fuzzy
205,2012-03-19 20:29:39,116,/home
206,2012-03-19 20:31:11,115,/cart
207,2012-03-19 20:32:09,115,/shipping
208,2012-03-19 20:35:19,115,/billing
209,2012-03-19 20:58:37,117,/home
210,2012-03-19 21:01:15,118,/home
211,2012-03-19 21:02:57,118,/products
212,2012-03-19 21:07:04,118,/the-original-mr-fuzzy
213,2012-03-19 21:22:09,119,/home
214,2012-03-19 21:30:49,120,/home
215,2012-03-19 21:32:08,121,/home
216,2012-03-19 21:32:33,121,/products
217,2012-03-19 21:41:17,122,/home
218,2012-03-19 22:00:05,123,/home
219,2012-03-19 22:09:49,124,/home
220,2012-03-19 22:18:00,125,/home
221,2012-03-19 22:19:11,126,/home
222,2012-03-19 22:19:34,125,/products
223,2012-03-19 22:22:24,127,/home
224,2012-03-19 22:23:33,125,/the-original-mr-fuzzy
225,2012-03-19 22:23:46,126,/products
226,2012-03-19 22:24:02,128,/home
227,2012-03-19 22:26:25,128,/products
228,2012-03-19 22:26:43,126,/the-original-mr-fuzzy
229,2012-03-19 22:28:57,128,/the-original-mr-fuzzy
230,2012-03-19 22:29:54,126,/cart
231,2012-03-19 22:31:05,129,/home
232,2012-03-19 22:31:36,130,/home
233,2012-03-19 23:28:33,131,/home
234,2012-03-19 23:30:25,131,/products
235,2012-03-19 23:33:57,131,/the-original-mr-fuzzy
236,2012-03-19 23:41:36,132,/home
237,2012-03-19 23:44:23,133,/home
238,2012-03-19 23:45:14,134,/home
239,2012-03-19 23:47:22,132,/products
240,2012-03-19 23:48:22,132,/the-original-mr-fuzzy
241,2012-03-19 23:50:07,133,/products
242,2012-03-19 23:52:18,135,/home
243,2012-03-19 23:54:44,136,/home
244,2012-03-19 23:55:20,137,/home
245,2012-03-20 00:22:20,138,/home
246,2012-03-20 01:12:11,139,/home
247,2012-03-20 01:28:23,140,/home
248,2012-03-20 01:32:34,141,/home
249,2012-03-20 01:35:47,142,/home
250,2012-03-20 02:12:02,143,/home
251,2012-03-20 02:40:42,144,/home
252,2012-03-20 03:30:54,145,/home
253,2012-03-20 05:35:30,146,/home
254,2012-03-20 06:21:56,147,/home
255,2012-03-20 06:26:08,147,/products
256,2012-03-20 06:29:09,147,/the-original-mr-fuzzy
257,2012-03-20 06:32:22,147,/cart
258,2012-03-20 06:35:05,147,/shipping
259,2012-03-20 06:37:30,147,/billing
260,2012-03-20 06:44:45,147,/thank-you-for-your-order
261,2012-03-20 07:18:18,148,/home
262,2012-03-20 07:42:52,149,/home
263,2012-03-20 08:09:54,150,/home
264,2012-03-20 08:19:02,151,/home
265,2012-03-20 08:19:22,152,/home
266,2012-03-20 08:20:33,152,/products
267,2012-03-20 08:23:30,152,/the-original-mr-fuzzy
268,2012-03-20 08:26:01,152,/cart
269,2012-03-20 08:28:03,153,/home
270,2012-03-20 08:29:04,153,/products
271,2012-03-20 08:29:11,152,/shipping
272,2012-03-20 08:30:10,154,/home
273,2012-03-20 08:31:26,152,/billing
274,2012-03-20 08:31:53,154,/products
275,2012-03-20 08:32:56,154,/the-original-mr-fuzzy
276,2012-03-20 08:38:28,155,/home
277,2012-03-20 08:59:58,156,/home
278,2012-03-20 09:00:16,157,/home
279,2012-03-20 09:01:19,156,/products
280,2012-03-20 09:01:54,156,/the-original-mr-fuzzy
281,2012-03-20 09:02:11,158,/home
282,2012-03-20 09:09:26,159,/home
283,2012-03-20 09:14:21,159,/products
284,2012-03-20 09:23:55,160,/home
285,2012-03-20 09:29:32,160,/products
286,2012-03-20 09:30:07,161,/home
287,2012-03-20 09:33:30,160,/the-original-mr-fuzzy
288,2012-03-20 09:35:58,160,/cart
289,2012-03-20 09:39:45,160,/shipping
290,2012-03-20 09:40:31,160,/billing
